order_id,customer_id,customer_state,product_category,price,freight_value,payment_type,payment_installments,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,delivery_days,is_late,review_score
ord_003134,cust_005520,RS,fashion,51.21,6.21,credit_card,5,2023-01-01,2023-01-03,2023-01-08,2,0,5.0
ord_000615,cust_008175,RS,housewares,275.34,37.88,credit_card,5,2023-01-01,2023-01-05,2023-01-10,4,0,4.0
ord_003051,cust_007888,MG,housewares,207.39,21.16,credit_card,7,2023-01-01,2023-01-03,2023-01-08,2,0,4.0
ord_010354,cust_007728,GO,books,63.59,8.69,credit_card,8,2023-01-01,2023-01-05,2023-01-10,4,0,4.0
ord_001228,cust_003760,RS,computers_accessories,937.8,45.38,credit_card,8,2023-01-01,2023-01-04,2023-01-09,3,0,4.0
ord_002589,cust_004669,RJ,housewares,157.7,17.17,credit_card,7,2023-01-01,2023-01-07,2023-01-12,6,0,5.0
ord_007698,cust_007190,MG,beauty_health,216.76,11.19,debit_card,1,2023-01-01,2023-01-10,2023-01-15,9,0,3.0
ord_000329,cust_005919,SP,furniture,972.35,87.11,credit_card,6,2023-01-01,2023-01-07,2023-01-12,6,0,5.0
ord_008656,cust_007388,MG,housewares,118.51,11.21,credit_card,4,2023-01-01,2023-01-09,2023-01-14,8,0,5.0
ord_004860,cust_005979,RJ,housewares,132.74,11.4,credit_card,6,2023-01-01,2023-01-03,2023-01-08,2,0,5.0
ord_000430,cust_008808,RJ,fashion,28.06,4.16,credit_card,1,2023-01-01,2023-01-17,2023-01-15,16,1,3.0
ord_002291,cust_006852,GO,beauty_health,202.81,19.73,credit_card,3,2023-01-01,2023-01-06,2023-01-11,5,0,4.0
ord_005979,cust_001502,BA,toys,171.94,5.48,credit_card,7,2023-01-01,2023-01-08,2023-01-13,7,0,3.0
ord_009415,cust_004329,SP,electronics,2484.3,200.32,boleto,1,2023-01-02,2023-01-06,2023-01-11,4,0,5.0
ord_001682,cust_008234,PE,housewares,270.53,16.52,boleto,1,2023-01-02,2023-01-09,2023-01-14,7,0,5.0
ord_004057,cust_002105,MG,beauty_health,182.9,6.15,credit_card,7,2023-01-02,2023-01-09,2023-01-14,7,0,4.0
ord_005217,cust_001820,RJ,beauty_health,25.46,3.81,boleto,1,2023-01-02,2023-01-10,2023-01-15,8,0,5.0
ord_005554,cust_004555,RJ,furniture,2996.48,381.19,credit_card,3,2023-01-02,2023-01-04,2023-01-09,2,0,5.0
ord_007040,cust_002423,SP,books,25.95,0.79,credit_card,2,2023-01-02,2023-01-17,2023-01-15,15,1,4.0
ord_010205,cust_002320,SC,beauty_health,220.2,19.03,credit_card,6,2023-01-02,2023-01-04,2023-01-09,2,0,5.0
ord_009253,cust_006708,RJ,books,35.31,1.31,credit_card,2,2023-01-02,2023-01-10,2023-01-15,8,0,3.0
ord_002120,cust_005588,SC,toys,34.32,1.11,credit_card,4,2023-01-02,2023-01-08,2023-01-13,6,0,5.0
ord_008010,cust_001975,SP,toys,78.62,7.43,credit_card,9,2023-01-02,2023-01-11,2023-01-14,9,0,3.0
ord_001893,cust_007154,SP,sports_leisure,148.9,20.25,credit_card,5,2023-01-02,2023-01-11,2023-01-14,9,0,5.0
ord_006587,cust_008808,SC,electronics,723.48,41.86,credit_card,8,2023-01-02,2023-01-09,2023-01-14,7,0,4.0
ord_000521,cust_003486,RJ,housewares,37.3,3.53,credit_card,2,2023-01-02,2023-01-09,2023-01-14,7,0,4.0
ord_006747,cust_003345,SP,garden_tools,189.43,16.93,credit_card,6,2023-01-03,2023-01-09,2023-01-14,6,0,4.0
ord_010066,cust_000092,MG,electronics,443.02,25.4,boleto,1,2023-01-03,2023-01-13,2023-01-17,10,0,5.0
ord_005843,cust_004016,SP,books,74.02,2.69,credit_card,5,2023-01-03,2023-01-06,2023-01-10,3,0,5.0
ord_004056,cust_006320,BA,sports_leisure,287.25,35.6,credit_card,5,2023-01-03,2023-01-06,2023-01-11,3,0,5.0
ord_008191,cust_005080,PR,fashion,170.8,15.69,credit_card,6,2023-01-03,2023-01-12,2023-01-17,9,0,5.0
ord_008182,cust_007034,SP,fashion,134.98,9.71,boleto,1,2023-01-03,2023-01-06,2023-01-11,3,0,5.0
ord_008104,cust_002289,SP,furniture,1666.36,100.75,boleto,1,2023-01-03,2023-01-05,2023-01-10,2,0,
ord_007378,cust_000298,RS,fashion,32.88,3.09,boleto,1,2023-01-03,2023-01-10,2023-01-15,7,0,5.0
ord_002262,cust_008174,RS,fashion,88.81,9.58,credit_card,7,2023-01-03,2023-01-12,2023-01-17,9,0,5.0
ord_004819,cust_005649,PE,beauty_health,155.22,22.38,credit_card,5,2023-01-03,2023-01-05,2023-01-10,2,0,5.0
ord_007223,cust_008340,BA,electronics,478.46,35.0,credit_card,8,2023-01-03,2023-01-11,2023-01-16,8,0,5.0
ord_006450,cust_007968,MG,beauty_health,92.57,4.24,voucher,1,2023-01-04,2023-01-12,2023-01-16,8,0,4.0
ord_006781,cust_000769,BA,books,48.2,7.21,credit_card,5,2023-01-04,2023-01-13,2023-01-18,9,0,4.0
