customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
cust_000001,56,3,742.95,4,4,3,11,Champions
cust_000002,282,2,3658.5099999999998,2,2,4,8,Loyal Customers
cust_000004,484,2,2108.73,1,2,4,7,Potential Loyalists
cust_000005,545,2,141.55,1,2,1,4,Needs Attention
cust_000006,462,1,2149.36,1,1,4,6,Potential Loyalists
cust_000007,316,2,629.55,2,2,3,7,Potential Loyalists
cust_000008,365,1,109.24,2,1,1,4,Needs Attention
cust_000009,5,3,5164.33,4,4,4,12,Champions
cust_000010,324,1,240.54,2,1,1,4,Needs Attention
cust_000011,112,5,1302.2,3,4,3,10,Champions
cust_000012,366,2,1193.55,2,2,3,7,Potential Loyalists
cust_000013,216,1,3427.4,3,1,4,8,Loyal Customers
cust_000014,92,1,205.77,4,1,1,6,Potential Loyalists
cust_000015,474,2,1041.54,1,2,3,6,Potential Loyalists
cust_000016,83,2,146.01,4,2,1,7,Potential Loyalists
cust_000018,97,3,2469.65,3,4,4,11,Champions
cust_000020,668,1,123.96,1,1,1,3,Needs Attention
cust_000021,167,2,170.47,3,2,1,6,Potential Loyalists
cust_000022,188,3,1678.51,3,4,3,10,Champions
cust_000023,664,1,197.14,1,1,1,3,Needs Attention
cust_000024,596,1,170.75,1,1,1,3,Needs Attention
cust_000025,103,2,551.5500000000001,3,2,2,7,Potential Loyalists
cust_000026,302,2,131.20000000000002,2,2,1,5,Needs Attention
cust_000027,236,1,219.0,3,1,1,5,Needs Attention
cust_000028,225,2,2240.1800000000003,3,2,4,9,Loyal Customers
cust_000032,136,1,3689.93,3,1,4,8,Loyal Customers
cust_000033,280,1,188.68,2,1,1,4,Needs Attention
cust_000036,466,1,2563.67,1,1,4,6,Potential Loyalists
cust_000037,357,1,1041.0,2,1,3,6,Potential Loyalists
cust_000038,74,2,118.64,4,2,1,7,Potential Loyalists
cust_000039,279,1,138.39,2,1,1,4,Needs Attention
cust_000040,47,1,616.36,4,1,3,8,Loyal Customers
cust_000043,360,1,273.61,2,1,2,5,Needs Attention
cust_000044,71,1,69.12,4,1,1,6,Potential Loyalists
cust_000045,3,3,2244.62,4,4,4,12,Champions
cust_000048,129,2,521.4,3,2,2,7,Potential Loyalists
cust_000049,499,1,115.49,1,1,1,3,Needs Attention
cust_000051,515,1,1911.74,1,1,4,6,Potential Loyalists
cust_000052,86,1,486.71,4,1,2,7,Potential Loyalists
cust_000053,522,1,1923.59,1,1,4,6,Potential Loyalists
cust_000054,693,1,104.52,1,1,1,3,Needs Attention
